, Hangbok Department Store ," 100,000 "," 100,000 "," 50,000 "," 100,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
, Myeongpum malu (Seoul Station) , - , - ," 20,000 "," 20,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
, Medical institute , - , - , - , - , - , - ," 457,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 Other regions , Phamacy ," 230,000 "," 274,000 "," 946,000 "," 1,080,000 "," 1,302,000 "," 533,000 "," 2,330,000 "," 1,807,000 "," 2,233,000 "," 2,214,000 "," 2,267,000 "," 2,284,000 "," 2,277,000 "," 4,279,000 "," 642,000 "," 2,272,000 "," 2,196,000 "," 2,227,000 "," 2,226,000 "," 2,230,000 "," 3,193,000 "," 933,000 "," 1,070,000 "," 2,147,000 "," 2,147,000 "," 2,239,000 "," 2,152,000 "," 2,153,000 "," 3,031,000 "," 1,045,000 "," 1,045,000 "," 3,006,000 "," 2,990,000 "," 3,751,000 "," 2,964,000 "," 2,967,000 "," 3,580,000 "," 882,000 "," 3,341,000 "," 3,189,000 "," 3,127,000 "," 3,072,000 "," 3,013,000 "," 2,164,000 "," 814,000 "," 2,598,000 "," 2,580,000 "," 3,772,000 "," 2,175,000 "," 98,487,000 "
, Post office , - , - ," 384,000 "," 410,000 "," 410,000 "," 410,000 "," 82,000 ", - ," 86,000 "," 86,000 "," 97,000 "," 96,000 "," 97,000 ", - , - ," 96,000 "," 90,000 "," 78,000 "," 78,000 "," 79,000 ", - , - , - ," 86,000 "," 84,000 "," 85,000 "," 83,000 "," 80,000 ", - , - , - ," 53,000 "," 80,000 "," 81,000 "," 54,000 "," 59,000 ", - , - ," 49,000 "," 59,000 "," 57,000 "," 46,000 "," 51,000 "," 135,000 "," 77,000 "," 44,000 "," 48,000 ", - ," 44,000 "," 2,238,000 "
, Hanaro mart ," 340,000 ", - ," 330,000 "," 330,000 "," 333,000 "," 332,000 "," 153,000 "," 152,000 "," 153,000 "," 152,000 "," 153,000 "," 153,000 "," 404,000 "," 274,000 ", - ," 152,000 "," 153,000 "," 130,000 "," 127,000 "," 114,000 "," 111,000 "," 63,000 "," 63,000 "," 130,000 "," 132,000 "," 99,000 "," 116,000 "," 110,000 "," 120,000 "," 73,000 "," 73,000 "," 130,000 "," 122,000 "," 108,000 "," 103,000 "," 93,000 "," 134,000 "," 74,000 "," 113,000 "," 102,000 "," 108,000 "," 94,000 "," 82,000 ", - , - ," 97,000 "," 247,000 "," 287,000 ", - ," 4,949,000 "
, IM Shopping ," 40,000 "," 40,000 "," 40,000 "," 20,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
, Myeongpum Malu (Daejeon Station) , - , - ," 10,000 "," 15,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
, Myeongpum Malu (Gwangju Station) , - , - , - ," 10,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
, Medical institute , - , - , - , - , - , - ," 396,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 Commons , Public Home Shpping , 9 ," 130,000 "," 180,000 "," 202,000 "," 147,000 "," 163,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
, Medical Institute ," 60,000 ", - ," 850,000 "," 600,000 "," 440,000 "," 310,000 ", - , - ," 593,000 "," 1,000,000 "," 1,307,000 "," 1,457,000 "," 1,609,000 "," 529,000 "," 50,000 "," 1,509,000 "," 2,030,000 "," 1,666,000 "," 1,870,000 "," 1,796,000 "," 728,000 ", - , - ," 1,619,000 "," 1,409,000 "," 1,504,000 "," 2,019,000 "," 1,639,000 "," 1,498,000 ", - , - ," 1,509,000 "," 1,709,000 "," 1,549,000 "," 1,539,000 "," 1,530,000 "," 1,304,000 ", - ," 1,619,000 "," 1,209,000 "," 1,119,000 "," 1,479,000 "," 708,000 "," 1,195,000 ", - ," 1,636,000 "," 1,569,000 "," 140,000 "," 762,000 "," 46,408,000 "
, Small-sized mask , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 527,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 527,000 "
, Etc , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 389,000 "," 1,429,000 "," 960,000 "," 283,000 ", - , - ," 1,728,000 "," 800,000 "," 121,000 "," 1,372,000 "," 143,000 "," 439,000 ", - , - , - ," 145,000 "," 227,000 "," 276,000 "," 1,714,000 ", - , - ," 530,000 ", - , - ," 1,443,000 "," 11,999,000 "
 Sum ,," 4,390,009 "," 2,037,000 "," 5,877,000 "," 5,760,000 "," 5,415,000 "," 3,342,000 "," 7,260,000 "," 4,705,000 "," 7,019,000 "," 7,402,000 "," 7,802,000 "," 7,807,000 "," 8,021,000 "," 8,786,000 "," 1,635,000 "," 8,304,000 "," 8,738,000 "," 8,488,000 "," 8,195,000 "," 8,031,000 "," 9,190,000 "," 2,648,000 "," 2,786,000 "," 8,269,000 "," 8,509,000 "," 10,454,000 "," 9,710,000 "," 8,339,000 "," 10,886,000 "," 2,730,000 "," 4,458,000 "," 11,112,000 "," 10,194,000 "," 12,674,000 "," 9,958,000 "," 10,147,000 "," 9,793,000 "," 2,362,000 "," 10,134,000 "," 9,728,000 "," 9,408,000 "," 9,808,000 "," 10,245,000 "," 7,929,000 "," 2,303,000 "," 10,184,000 "," 9,890,000 "," 9,715,000 "," 8,844,000 "," 332,635,000 "
